emp no,Attrition,CF_attrition label,CF_age band,Department,Job Role,Business Travel,Over Time,Training Times Last Year,Daily Rate,Distance From Home,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
STAFF-686,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,2,991,6,3,71,3,1,4,2659,17759,1,13,3,3,80,1,3,3,3,2,0,2
STAFF-689,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,2,482,3,3,36,3,3,3,9434,9606,1,15,3,3,80,1,10,3,10,7,7,8
STAFF-690,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,5,1176,3,2,62,3,2,3,5561,3487,1,14,3,1,80,1,6,2,6,0,1,2
STAFF-691,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,3,1017,6,2,82,1,2,4,6646,19368,1,13,3,2,80,0,17,3,17,11,11,8
STAFF-692,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Frequently,No,2,1296,6,3,30,3,2,4,7725,5335,3,23,4,3,80,1,15,1,13,11,4,7
STAFF-698,No,Current Employees,45 - 54,HR,Human Resources,Travel_Rarely,No,1,397,19,3,88,3,3,2,10725,6729,2,15,3,3,80,1,16,4,9,7,7,1
STAFF-699,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,Yes,2,913,9,2,48,2,2,2,8847,13934,2,11,3,3,80,1,13,3,3,2,0,2
STAFF-700,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,0,1115,3,1,54,2,1,4,2045,15174,0,13,3,4,80,0,5,3,4,2,1,1
STAFF-701,Yes,Ex-Employees,Under 25,R&D,Research Scientist,Travel_Rarely,Yes,5,1362,10,4,32,3,1,3,1009,26999,1,11,3,4,80,0,1,3,1,0,1,1
STAFF-702,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,Yes,3,1076,3,1,70,3,1,1,3348,3164,1,11,3,1,80,0,10,3,10,8,9,7
STAFF-704,No,Current Employees,35 - 44,R&D,Laboratory Technician,Non-Travel,No,3,727,3,3,41,2,1,3,1281,16900,1,18,3,3,80,2,1,3,1,0,0,0
STAFF-705,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,3,885,4,1,58,4,1,1,2819,8544,2,16,3,1,80,1,5,4,3,2,0,2
STAFF-707,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,4,810,8,4,57,4,2,2,4851,15678,0,22,4,3,80,1,4,3,3,2,1,2
STAFF-709,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,243,7,4,46,2,2,4,4028,7791,0,20,4,1,80,0,8,3,7,7,0,5
STAFF-710,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,5,806,1,2,76,1,1,4,2720,18959,1,18,3,4,80,1,10,3,10,7,2,8
STAFF-712,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,3,817,2,2,56,4,2,2,8120,18597,3,12,3,4,80,0,12,3,2,2,2,2
STAFF-714,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,Yes,3,1410,3,4,71,4,2,4,4647,16673,1,20,4,2,80,2,6,3,6,5,0,4
STAFF-715,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,2,1225,10,4,80,4,1,4,4680,15232,3,17,3,1,80,0,4,3,1,0,0,0
STAFF-716,No,Current Employees,45 - 54,R&D,Laboratory Technician,Travel_Rarely,Yes,3,1207,28,4,74,4,1,3,3221,3297,1,11,3,3,80,3,20,3,20,8,3,8
STAFF-717,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Rarely,No,3,1442,9,4,46,2,3,2,8621,17654,1,14,3,2,80,0,9,4,8,7,7,7
STAFF-720,Yes,Ex-Employees,Under 25,Sales,Sales Executive,Travel_Rarely,No,3,693,3,1,65,3,2,3,4577,24785,9,14,3,1,80,0,4,3,2,2,2,0
STAFF-721,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,4,408,2,4,80,2,2,3,4553,20978,1,11,3,1,80,0,20,3,20,7,11,10
STAFF-722,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,929,10,4,55,3,2,4,5396,21703,1,12,3,4,80,0,10,2,10,7,0,8
STAFF-723,Yes,Ex-Employees,45 - 54,Sales,Sales Executive,Travel_Frequently,Yes,4,562,8,2,50,3,2,3,6796,23452,3,14,3,1,80,1,18,3,4,3,1,3
STAFF-724,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,4,827,1,2,33,4,2,4,7625,19383,0,13,3,3,80,0,10,2,9,7,1,8
STAFF-725,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,3,608,1,3,68,3,3,1,7412,6009,1,11,3,4,80,0,9,3,9,7,0,7
STAFF-727,No,Current Employees,25 - 34,R&D,Research Director,Travel_Rarely,No,6,1018,3,3,39,3,3,4,11159,19373,3,15,3,4,80,0,10,3,7,7,7,7
STAFF-728,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,2,703,14,4,42,3,2,1,4960,11825,2,12,3,4,80,0,20,3,7,7,1,7
STAFF-729,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,Yes,2,580,5,4,48,2,3,1,10475,23772,5,21,4,3,80,1,20,3,18,13,1,12
STAFF-730,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,3,970,7,3,59,4,4,3,14814,13514,3,19,3,3,80,0,32,3,5,1,1,3
STAFF-731,No,Current Employees,35 - 44,HR,Manager,Travel_Rarely,No,2,427,10,2,73,2,5,4,19141,8861,3,15,3,2,80,3,23,2,21,6,12,6
STAFF-732,No,Current Employees,Over 55,Sales,Sales Executive,Travel_Rarely,No,1,1179,16,1,84,3,2,1,5405,11924,8,14,3,4,80,0,10,3,2,2,2,2
STAFF-733,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Frequently,No,4,294,10,4,32,3,3,1,8793,4809,1,21,4,3,80,2,9,2,9,7,1,7
STAFF-734,No,Current Employees,35 - 44,HR,Manager,Travel_Rarely,No,3,314,1,4,59,2,5,3,19189,19562,1,12,3,2,80,1,22,3,22,7,2,10
STAFF-738,No,Current Employees,45 - 54,Sales,Sales Representative,Travel_Rarely,No,2,316,8,4,54,3,1,2,3875,9983,7,15,3,4,80,1,4,3,2,2,2,2
STAFF-741,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,4,654,1,1,67,1,1,2,2216,3872,7,13,3,4,80,0,10,3,7,7,3,7
STAFF-742,No,Current Employees,35 - 44,R&D,Research Director,Non-Travel,No,2,427,8,1,63,4,3,1,11713,20335,9,14,3,1,80,1,10,3,8,7,0,5
STAFF-743,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,Yes,4,168,1,3,81,3,3,3,7861,15397,4,14,3,4,80,0,10,4,1,0,0,0
STAFF-744,No,Current Employees,35 - 44,R&D,Laboratory Technician,Non-Travel,No,5,381,24,1,49,1,1,3,3708,2104,2,14,3,3,80,0,9,3,5,2,1,4
STAFF-746,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Frequently,Yes,2,217,3,4,49,3,4,3,13770,10225,9,12,3,4,80,2,28,2,22,2,11,13
STAFF-747,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,501,27,3,99,3,2,4,5304,25275,7,23,4,4,80,1,10,2,8,7,7,7
STAFF-749,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,No,6,1396,10,3,99,3,1,3,2642,2755,1,11,3,3,80,0,1,3,1,0,0,0
STAFF-752,Yes,Ex-Employees,35 - 44,R&D,Research Scientist,Travel_Frequently,Yes,2,933,19,3,57,4,1,3,2759,20366,6,12,3,4,80,0,7,3,2,2,2,2
STAFF-754,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Frequently,No,5,775,15,4,47,2,2,4,6804,23683,3,18,3,3,80,1,7,3,2,2,2,2
STAFF-757,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Rarely,No,2,970,8,2,96,3,2,3,6142,7360,3,11,3,4,80,0,10,3,5,1,4,3
STAFF-758,No,Current Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,No,2,650,9,2,37,3,1,1,2500,4344,1,14,3,4,80,1,5,4,4,3,0,2
STAFF-760,No,Current Employees,35 - 44,HR,Human Resources,Travel_Rarely,No,3,141,3,3,44,4,2,2,6389,18767,9,15,3,3,80,1,12,1,8,3,3,6
STAFF-762,No,Current Employees,Over 55,R&D,Healthcare Representative,Travel_Rarely,No,1,832,9,3,81,3,4,4,11103,20420,7,11,3,3,80,0,30,2,10,7,1,1
STAFF-763,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,Yes,2,804,2,4,86,2,1,4,2342,22929,0,20,4,4,80,0,5,2,4,2,2,3
STAFF-764,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Rarely,No,2,975,7,4,55,2,2,1,6811,23398,8,19,3,1,80,0,9,1,7,6,0,7
STAFF-766,No,Current Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,No,2,1090,10,4,83,3,1,2,2297,17967,1,14,3,4,80,2,2,3,2,2,2,2
STAFF-769,No,Current Employees,45 - 54,R&D,Laboratory Technician,Travel_Rarely,No,4,346,6,4,86,3,2,4,2450,10919,2,17,3,4,80,0,19,3,2,2,2,2
STAFF-771,No,Current Employees,35 - 44,R&D,Healthcare Representative,Non-Travel,No,2,1225,2,4,61,3,2,1,5093,4761,2,11,3,1,80,1,16,4,1,0,0,0
STAFF-772,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,No,2,430,24,1,80,3,2,4,5309,21146,1,15,3,4,80,2,10,3,10,8,4,7
STAFF-773,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,Yes,0,268,2,4,92,3,1,3,3057,20471,6,13,3,2,80,1,6,1,1,0,0,1
STAFF-775,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,3,167,8,2,32,3,2,1,5121,4187,3,14,3,3,80,1,7,3,0,0,0,0
STAFF-776,No,Current Employees,45 - 54,Sales,Manager,Travel_Rarely,No,3,621,3,3,31,2,4,1,16856,10084,1,11,3,1,80,0,34,4,34,6,1,16
STAFF-780,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,2,527,1,4,63,3,1,4,2686,5207,1,13,3,3,80,0,10,2,10,9,7,8
STAFF-781,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,5,883,26,3,32,3,2,4,6180,22807,1,23,4,2,80,0,6,2,6,5,1,4
STAFF-783,No,Current Employees,45 - 54,Sales,Sales Representative,Travel_Rarely,No,3,954,2,2,46,1,2,3,6632,12388,0,13,3,1,80,0,9,3,8,7,3,1
STAFF-784,No,Current Employees,Under 25,R&D,Research Scientist,Travel_Rarely,No,3,310,10,1,79,4,1,3,3505,19630,1,18,3,4,80,0,2,3,2,2,0,2
STAFF-785,Yes,Ex-Employees,45 - 54,Sales,Sales Executive,Travel_Frequently,Yes,2,719,27,2,77,4,2,3,6397,10339,4,12,3,4,80,0,8,3,5,4,1,3
STAFF-786,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,5,304,2,4,60,3,2,4,6274,18686,1,22,4,3,80,0,6,3,6,5,1,4
STAFF-787,Yes,Ex-Employees,Over 55,R&D,Manager,Travel_Rarely,Yes,2,725,2,4,78,3,5,1,19859,21199,5,13,3,4,80,1,24,3,5,2,1,4
STAFF-789,No,Current Employees,35 - 44,Sales,Sales Executive,Non-Travel,No,1,1434,8,1,76,2,3,1,7587,14229,1,15,3,2,80,0,10,3,10,7,0,9
STAFF-791,No,Current Employees,45 - 54,R&D,Research Scientist,Non-Travel,No,3,715,19,4,41,3,1,4,4258,26589,0,18,3,1,80,1,5,3,4,3,1,2
STAFF-792,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Frequently,No,2,575,1,1,71,1,1,4,4364,5288,3,14,3,1,80,1,5,3,2,2,2,0
STAFF-793,No,Current Employees,25 - 34,R&D,Healthcare Representative,Travel_Rarely,No,3,657,27,2,66,3,2,3,4335,25549,4,12,3,1,80,1,11,2,8,7,1,1
STAFF-796,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,2,1146,8,4,38,2,2,1,5326,3064,6,17,3,3,80,0,6,2,4,3,1,2
STAFF-797,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,2,182,1,2,72,4,1,4,3280,13551,2,16,3,3,80,0,10,3,4,2,1,3
STAFF-799,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Rarely,Yes,4,376,19,4,95,3,2,1,5485,22670,9,11,3,2,80,2,9,3,5,3,1,4
STAFF-800,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,3,829,8,3,84,3,2,4,4342,24008,0,19,3,2,80,1,5,3,4,2,1,1
STAFF-802,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,Yes,3,571,10,4,82,3,1,1,2782,19905,0,13,3,2,80,2,6,2,5,3,4,3
STAFF-803,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Frequently,Yes,2,240,2,1,75,4,2,1,5980,26085,6,12,3,4,80,0,17,3,15,7,4,12
STAFF-804,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,121,2,3,86,2,1,1,4381,7530,1,11,3,3,80,0,6,3,6,5,1,3
STAFF-805,No,Current Employees,35 - 44,Sales,Sales Representative,Travel_Rarely,No,1,384,8,1,72,3,1,4,2572,20317,1,16,3,2,80,1,3,2,3,2,0,2
STAFF-806,No,Current Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,No,2,921,1,4,38,1,1,3,3833,24375,3,21,4,3,80,2,7,3,2,2,0,2
STAFF-807,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Frequently,No,2,791,2,3,38,4,2,2,4244,9931,1,24,4,4,80,1,8,3,8,7,3,7
STAFF-808,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,1,1111,8,3,93,3,2,1,6500,13305,5,17,3,2,80,1,6,3,3,2,1,2
STAFF-809,No,Current Employees,35 - 44,R&D,Manager,Travel_Frequently,No,4,570,8,2,66,3,5,4,18430,16225,1,13,3,2,80,1,24,2,24,7,14,9
STAFF-811,Yes,Ex-Employees,Under 25,R&D,Laboratory Technician,Travel_Rarely,Yes,2,1243,6,3,63,4,1,1,1601,3445,1,21,4,3,80,2,1,3,0,0,0,0
STAFF-812,No,Current Employees,Under 25,R&D,Laboratory Technician,Non-Travel,No,4,1092,9,3,60,2,1,2,2694,26551,1,11,3,3,80,3,1,3,1,0,0,0
STAFF-813,No,Current Employees,45 - 54,R&D,Laboratory Technician,Travel_Rarely,No,3,1325,11,4,82,3,2,3,3149,21821,8,20,4,2,80,1,9,3,5,2,1,4
STAFF-815,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,3,691,2,3,64,3,4,3,17639,6881,5,16,3,4,80,0,30,3,4,3,0,3
STAFF-816,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,1,805,1,2,36,2,1,1,2319,6689,1,11,3,4,80,1,1,3,1,0,0,0
STAFF-817,No,Current Employees,25 - 34,R&D,Research Director,Travel_Rarely,No,3,213,7,3,49,3,3,3,11691,25995,0,11,3,4,80,0,14,4,13,9,3,7
STAFF-819,Yes,Ex-Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,118,16,1,69,3,2,1,5324,26507,5,15,3,3,80,0,6,3,3,2,0,2
STAFF-820,No,Current Employees,45 - 54,R&D,Manager,Travel_Rarely,Yes,3,202,2,3,33,3,4,4,16752,12982,1,11,3,3,80,1,26,2,26,14,3,0
STAFF-823,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,2,676,1,3,35,3,2,2,5228,23361,0,15,3,1,80,1,10,3,9,7,0,5
STAFF-824,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,1252,23,3,81,4,1,3,2700,23779,1,24,4,3,80,1,10,3,10,7,0,7
STAFF-825,Yes,Ex-Employees,Over 55,R&D,Research Director,Travel_Rarely,Yes,2,286,2,4,31,3,5,2,19246,25761,7,12,3,4,80,0,40,3,31,15,13,8
STAFF-826,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,0,1258,1,4,40,4,1,3,2506,13301,3,13,3,3,80,0,7,3,2,2,2,2
STAFF-827,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,Yes,4,932,1,4,43,2,2,4,6062,4051,9,13,3,4,80,1,8,3,4,3,0,2
STAFF-828,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,890,2,3,46,3,1,3,4382,16374,6,17,3,4,80,0,5,2,2,2,2,1
STAFF-829,No,Current Employees,35 - 44,HR,Human Resources,Travel_Rarely,No,2,1041,13,3,36,3,1,2,2143,25527,4,13,3,2,80,1,8,3,5,2,0,4
STAFF-830,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,No,3,859,4,3,98,2,2,3,6162,19124,1,12,3,3,80,1,14,3,14,13,6,8
STAFF-832,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Frequently,No,6,720,16,1,51,2,2,3,5094,11983,6,14,3,4,80,0,10,3,1,0,0,0
STAFF-833,No,Current Employees,25 - 34,R&D,Manufacturing Director,Travel_Rarely,Yes,4,946,2,3,52,2,2,4,6877,20234,5,24,4,2,80,0,12,2,0,0,0,0
STAFF-834,No,Current Employees,45 - 54,R&D,Research Scientist,Travel_Rarely,No,3,252,2,2,95,2,1,3,2274,6153,1,14,3,4,80,0,1,3,1,0,0,0
STAFF-836,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,3,933,29,2,98,3,2,2,4434,11806,1,13,3,4,80,1,10,2,9,8,7,8
STAFF-837,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Frequently,No,3,471,12,1,45,2,2,1,6288,4284,2,15,3,3,80,1,13,2,4,3,1,2
STAFF-838,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,3,702,16,3,100,2,1,4,2553,8306,1,16,3,3,80,0,6,3,5,2,1,3
STAFF-840,Yes,Ex-Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,3,1184,11,3,43,3,3,4,7654,5860,1,18,3,1,80,2,9,4,9,8,7,7
STAFF-842,Yes,Ex-Employees,Over 55,Sales,Sales Executive,Travel_Rarely,No,3,436,2,3,37,3,2,4,5160,21519,4,16,3,3,80,0,12,2,9,7,7,3
STAFF-843,No,Current Employees,35 - 44,R&D,Research Director,Travel_Rarely,No,3,589,14,2,94,3,4,1,17159,5200,6,24,4,3,80,1,22,3,4,1,1,0
STAFF-844,No,Current Employees,25 - 34,R&D,Research Director,Travel_Rarely,Yes,3,269,5,3,42,2,3,4,12808,8842,1,16,3,2,80,1,9,3,9,8,0,8
STAFF-845,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,3,950,7,3,59,3,3,3,10221,18869,3,21,4,2,80,0,17,4,8,5,1,6
STAFF-846,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,Yes,2,760,2,2,81,3,2,2,4779,3698,1,20,4,1,80,0,8,3,8,7,7,5
STAFF-847,No,Current Employees,25 - 34,HR,Human Resources,Travel_Rarely,No,1,829,3,3,88,3,1,4,3737,2243,0,19,3,3,80,1,4,1,3,2,0,2
STAFF-848,Yes,Ex-Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,Yes,2,887,5,3,88,2,1,3,2366,20898,1,14,3,1,80,1,8,3,8,7,1,7
STAFF-850,No,Current Employees,25 - 34,R&D,Research Scientist,Non-Travel,No,6,443,3,4,50,3,1,4,1706,16571,1,11,3,3,80,3,0,2,0,0,0,0
STAFF-851,No,Current Employees,45 - 54,Sales,Manager,Travel_Rarely,No,2,1318,26,1,66,3,4,3,16307,5594,2,14,3,3,80,1,29,2,20,6,4,17
STAFF-852,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Rarely,No,2,625,4,4,50,3,2,2,5933,5197,9,12,3,4,80,0,10,2,5,2,2,3
STAFF-854,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,180,2,1,65,4,1,1,3424,21632,7,13,3,3,80,0,6,2,4,3,0,1
STAFF-855,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,5,586,1,1,48,4,2,1,4037,21816,1,22,4,1,80,1,9,3,9,8,0,8
STAFF-856,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Rarely,No,3,1343,27,3,53,2,1,1,2559,17852,1,11,3,4,80,0,6,2,6,5,1,1
STAFF-857,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,Yes,1,928,1,2,56,3,2,4,6201,2823,1,14,3,4,80,1,18,2,18,14,4,11
STAFF-859,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,3,117,13,2,73,3,2,4,4403,9250,2,11,3,3,80,1,8,2,5,2,0,3
STAFF-861,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Frequently,No,3,1012,5,2,75,2,1,4,3761,2373,9,12,3,2,80,1,10,2,5,4,0,3
STAFF-862,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,Yes,3,661,7,1,78,2,3,4,10934,20715,7,18,3,4,80,1,35,3,5,2,0,4
STAFF-864,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,Yes,2,930,9,4,74,3,3,1,10761,19239,4,12,3,3,80,1,18,3,5,4,0,2
STAFF-865,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,No,3,638,8,3,91,4,2,3,5175,22162,5,12,3,3,80,1,9,2,5,3,1,3
STAFF-867,No,Current Employees,45 - 54,R&D,Manufacturing Director,Travel_Frequently,No,3,890,25,3,81,2,4,4,13826,19028,3,22,4,3,80,0,31,3,9,8,0,0
STAFF-868,No,Current Employees,35 - 44,Sales,Sales Executive,Travel_Rarely,No,2,342,16,4,66,2,2,3,6334,24558,4,19,3,4,80,2,9,3,1,0,0,0
STAFF-869,No,Current Employees,25 - 34,HR,Human Resources,Travel_Rarely,No,6,1169,8,2,63,2,1,4,4936,23965,1,13,3,4,80,1,6,3,5,1,0,4
STAFF-872,No,Current Employees,Under 25,R&D,Manufacturing Director,Travel_Rarely,No,2,1230,1,4,33,2,2,4,4775,19146,6,22,4,1,80,2,4,1,2,2,2,2
STAFF-874,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,Yes,2,986,8,1,62,4,1,4,2818,5044,2,24,4,3,80,1,10,2,3,2,0,2
STAFF-875,No,Current Employees,35 - 44,R&D,Research Scientist,Travel_Frequently,Yes,2,1271,2,2,35,3,1,4,2515,9068,5,14,3,4,80,0,8,3,2,1,2,2
STAFF-878,No,Current Employees,35 - 44,HR,Human Resources,Travel_Rarely,No,3,1278,8,1,77,2,1,1,2342,8635,0,21,4,3,80,0,6,3,5,4,0,3
STAFF-879,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,Yes,3,141,3,3,98,3,2,1,4194,14363,1,18,3,4,80,0,5,3,5,3,0,3
STAFF-880,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,Yes,2,607,9,4,66,2,3,3,10685,23457,1,20,4,2,80,1,17,3,17,14,5,15
STAFF-881,Yes,Ex-Employees,35 - 44,R&D,Research Scientist,Travel_Frequently,Yes,3,130,25,4,96,3,1,2,2022,16612,1,19,3,1,80,1,10,2,10,2,7,8
STAFF-882,No,Current Employees,25 - 34,R&D,Laboratory Technician,Non-Travel,No,2,300,1,4,61,3,1,4,2314,9148,0,12,3,2,80,1,4,3,3,0,0,2
STAFF-885,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Rarely,No,1,583,4,3,87,2,2,1,4256,18154,1,12,3,1,80,0,5,4,5,2,0,3
STAFF-887,No,Current Employees,45 - 54,R&D,Research Scientist,Travel_Rarely,No,2,1418,1,3,36,3,1,1,3580,10554,2,16,3,2,80,1,7,3,4,2,0,2
STAFF-888,No,Current Employees,Under 25,R&D,Laboratory Technician,Non-Travel,No,2,1269,4,1,46,2,1,4,3162,10778,0,17,3,4,80,0,6,2,5,2,3,4
STAFF-889,No,Current Employees,25 - 34,Sales,Sales Executive,Travel_Frequently,No,3,379,5,2,48,3,2,2,6524,8891,1,14,3,4,80,1,10,3,10,8,5,3
STAFF-893,No,Current Employees,35 - 44,Sales,Sales Representative,Travel_Rarely,No,3,395,9,2,98,2,1,2,2899,12102,0,19,3,4,80,1,3,3,2,2,1,2
STAFF-894,No,Current Employees,35 - 44,R&D,Laboratory Technician,Travel_Rarely,Yes,1,1265,3,3,95,4,2,4,5231,23726,2,13,3,2,80,1,17,2,5,3,1,3
STAFF-895,No,Current Employees,25 - 34,R&D,Research Scientist,Travel_Rarely,Yes,2,1222,11,4,48,3,1,4,2356,14871,3,19,3,2,80,1,8,3,6,4,0,2
STAFF-896,Yes,Ex-Employees,25 - 34,Sales,Sales Representative,Travel_Rarely,Yes,3,341,1,2,48,2,1,3,2800,23522,6,19,3,3,80,3,5,3,3,2,0,2
STAFF-897,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,No,3,868,8,1,73,3,4,4,11836,22789,5,14,3,3,80,1,28,3,2,0,2,2
STAFF-899,No,Current Employees,35 - 44,R&D,Manufacturing Director,Travel_Rarely,No,2,672,25,4,78,2,3,2,10903,9129,3,16,3,1,80,0,16,3,13,10,4,8
STAFF-900,No,Current Employees,35 - 44,Sales,Sales Representative,Travel_Frequently,No,3,1231,21,3,54,3,1,4,2973,21222,5,15,3,2,80,1,10,3,5,4,0,0
STAFF-901,No,Current Employees,45 - 54,R&D,Research Director,Travel_Rarely,No,0,102,23,4,72,3,4,4,14275,20206,6,18,3,3,80,0,33,3,12,9,3,8
STAFF-902,No,Current Employees,35 - 44,R&D,Healthcare Representative,Travel_Frequently,No,2,422,1,4,33,3,2,4,5562,21782,4,13,3,2,80,1,12,2,5,2,2,2
STAFF-903,No,Current Employees,45 - 54,Sales,Sales Executive,Travel_Rarely,Yes,2,249,2,3,35,3,2,4,4537,17783,0,22,4,1,80,1,8,3,7,6,7,7
STAFF-904,No,Current Employees,35 - 44,Sales,Sales Executive,Non-Travel,Yes,2,1252,19,1,32,3,3,2,7642,4814,1,13,3,4,80,0,10,3,10,0,0,9
STAFF-905,No,Current Employees,45 - 54,R&D,Manager,Non-Travel,No,3,881,2,1,98,3,4,1,17924,4544,1,11,3,4,80,1,31,3,31,6,14,7
STAFF-909,No,Current Employees,35 - 44,HR,Human Resources,Travel_Rarely,No,2,1383,2,4,42,2,2,4,5204,7790,8,11,3,3,80,2,13,3,5,4,0,4
STAFF-910,No,Current Employees,25 - 34,HR,Human Resources,Travel_Rarely,Yes,4,1075,3,4,57,3,1,2,2277,22650,3,11,3,3,80,1,7,4,4,3,0,3
STAFF-911,Yes,Ex-Employees,25 - 34,R&D,Laboratory Technician,Travel_Rarely,Yes,2,374,25,1,87,3,1,4,2795,18016,1,24,4,3,80,0,1,1,1,0,0,1
